央视,#genre#
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8

移动央卫,#genre#
CCTV1,http://223.112.219.174:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://223.112.219.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://223.112.219.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.112.219.174:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://223.112.219.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://223.112.219.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://223.112.219.174:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://223.112.219.174:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://223.112.219.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://223.112.219.174:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://223.112.219.174:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://223.112.219.174:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://223.112.219.174:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://223.112.219.174:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://223.112.219.174:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://223.112.219.174:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://223.112.219.174:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
河南,http://223.112.219.174:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
